"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
2391,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357235,"true",5,4,"false",500,0.388,0.5,"true"
2406,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357318,"true",5,4,"false",500,0.403,0.5,"true"
2421,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357361,"true",5,4,"false",500,0.418,0.5,"true"
2436,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357396,"true",5,4,"false",500,0.433,0.5,"true"
2451,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357428,"true",5,4,"false",500,0.448,0.5,"true"
2466,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357463,"true",5,4,"false",500,0.463,0.5,"true"
2481,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357496,"true",5,4,"false",500,0.478,0.5,"true"
2496,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357528,"true",5,4,"false",500,0.493,0.5,"true"
2511,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357566,"true",5,4,"false",500,0.508,0.5,"true"
2526,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357594,"true",5,4,"false",500,0.523,0.5,"true"
2541,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357623,"true",5,4,"false",500,0.538,0.5,"true"
2556,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357655,"true",5,4,"false",500,0.553,0.5,"true"
2571,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357694,"true",5,4,"false",500,0.568,0.5,"true"
2586,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357721,"true",5,4,"false",500,0.583,0.5,"true"
2601,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357756,"true",5,4,"false",500,0.598,0.5,"true"
2616,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357788,"true",5,4,"false",500,0.613,0.5,"true"
2631,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357819,"true",5,4,"false",500,0.628,0.5,"true"
2646,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357842,"true",5,4,"false",500,0.643,0.5,"true"
2661,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357873,"true",5,4,"false",500,0.658,0.5,"true"
2676,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357903,"true",5,4,"false",500,0.673,0.5,"true"
2691,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357930,"true",5,4,"false",500,0.688,0.5,"true"
2706,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357966,"true",5,4,"false",500,0.703,0.5,"true"
2721,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271357995,"true",5,4,"false",500,0.718,0.5,"true"
2736,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358026,"true",5,4,"false",500,0.733,0.5,"true"
2751,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358058,"true",5,4,"false",500,0.748,0.5,"true"
2766,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358089,"true",5,4,"false",500,0.763,0.5,"true"
2781,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358105,"true",5,4,"false",500,0.778,0.5,"true"
2796,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358119,"true",5,4,"false",500,0.793,0.5,"true"
2811,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358144,"true",5,4,"false",500,0.808,0.5,"true"
2826,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358159,"true",5,4,"false",500,0.823,0.5,"true"
2841,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358173,"true",5,4,"false",500,0.838,0.5,"true"
2856,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358189,"true",5,4,"false",500,0.853,0.5,"true"
2871,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358203,"true",5,4,"false",500,0.868,0.5,"true"
2886,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358217,"true",5,4,"false",500,0.883,0.5,"true"
2901,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358231,"true",5,4,"false",500,0.898,0.5,"true"
2916,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358244,"true",5,4,"false",500,0.913,0.5,"true"
2931,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358259,"true",5,4,"false",500,0.928,0.5,"true"
2946,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358272,"true",5,4,"false",500,0.943,0.5,"true"
2961,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358286,"true",5,4,"false",500,0.958,0.5,"true"
2976,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358299,"true",5,4,"false",500,0.973,0.5,"true"
2991,"true","false","LIM_ED","true",1,"WATTS","PRICE",1271358314,"true",5,4,"false",500,0.988,0.5,"true"
7,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271303964,"true",5,4,"false",500,0.006,0.5,"true"
22,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271304343,"true",5,4,"false",500,0.021,0.5,"true"
37,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271304456,"true",5,4,"false",500,0.036,0.5,"true"
52,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271305350,"true",5,4,"false",500,0.051,0.5,"true"
67,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271305718,"true",5,4,"false",500,0.066,0.5,"true"
82,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271305991,"true",5,4,"false",500,0.081,0.5,"true"
97,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271306487,"true",5,4,"false",500,0.096,0.5,"true"
112,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271306881,"true",5,4,"false",500,0.111,0.5,"true"
127,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307185,"true",5,4,"false",500,0.126,0.5,"true"
142,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307442,"true",5,4,"false",500,0.141,0.5,"true"
157,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307693,"true",5,4,"false",500,0.156,0.5,"true"
172,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308007,"true",5,4,"false",500,0.171,0.5,"true"
187,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308216,"true",5,4,"false",500,0.186,0.5,"true"
202,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308454,"true",5,4,"false",500,0.201,0.5,"true"
217,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308754,"true",5,4,"false",500,0.216,0.5,"true"
232,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309020,"true",5,4,"false",500,0.231,0.5,"true"
247,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309324,"true",5,4,"false",500,0.246,0.5,"true"
262,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309512,"true",5,4,"false",500,0.261,0.5,"true"
277,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309789,"true",5,4,"false",500,0.276,0.5,"true"
292,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310017,"true",5,4,"false",500,0.291,0.5,"true"
307,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310276,"true",5,4,"false",500,0.306,0.5,"true"
322,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310575,"true",5,4,"false",500,0.321,0.5,"true"
337,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310801,"true",5,4,"false",500,0.336,0.5,"true"
352,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311064,"true",5,4,"false",500,0.351,0.5,"true"
367,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311397,"true",5,4,"false",500,0.366,0.5,"true"
382,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311725,"true",5,4,"false",500,0.381,0.5,"true"
397,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311936,"true",5,4,"false",500,0.396,0.5,"true"
412,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312131,"true",5,4,"false",500,0.411,0.5,"true"
427,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312369,"true",5,4,"false",500,0.426,0.5,"true"
442,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312598,"true",5,4,"false",500,0.441,0.5,"true"
457,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312792,"true",5,4,"false",500,0.456,0.5,"true"
472,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313039,"true",5,4,"false",500,0.471,0.5,"true"
487,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313254,"true",5,4,"false",500,0.486,0.5,"true"
502,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313445,"true",5,4,"false",500,0.501,0.5,"true"
517,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313738,"true",5,4,"false",500,0.516,0.5,"true"
532,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313946,"true",5,4,"false",500,0.531,0.5,"true"
547,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271314202,"true",5,4,"false",500,0.546,0.5,"true"
562,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271314437,"true",5,4,"false",500,0.561,0.5,"true"
577,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271314788,"true",5,4,"false",500,0.576,0.5,"true"
592,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271314979,"true",5,4,"false",500,0.591,0.5,"true"
607,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271315326,"true",5,4,"false",500,0.606,0.5,"true"
622,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271315534,"true",5,4,"false",500,0.621,0.5,"true"
637,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271315860,"true",5,4,"false",500,0.636,0.5,"true"
652,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271316082,"true",5,4,"false",500,0.651,0.5,"true"
667,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271316278,"true",5,4,"false",500,0.666,0.5,"true"
682,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271316649,"true",5,4,"false",500,0.681,0.5,"true"
697,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271316838,"true",5,4,"false",500,0.696,0.5,"true"
712,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271317171,"true",5,4,"false",500,0.711,0.5,"true"
727,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271317407,"true",5,4,"false",500,0.726,0.5,"true"
742,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271317576,"true",5,4,"false",500,0.741,0.5,"true"
757,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271317811,"true",5,4,"false",500,0.756,0.5,"true"
772,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271318043,"true",5,4,"false",500,0.771,0.5,"true"
787,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271318295,"true",5,4,"false",500,0.786,0.5,"true"
802,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271318539,"true",5,4,"false",500,0.801,0.5,"true"
817,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271318746,"true",5,4,"false",500,0.816,0.5,"true"
832,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271318977,"true",5,4,"false",500,0.831,0.5,"true"
